bart_name,kaggle_name,kaggle_team_id,match_method,match_score
Oregon St.,Oregon St,1333,fuzzy,94.73684210526316
North Dakota St.,N Dakota St,1295,manual,100.0
TCU,TCU,1395,manual,100.0
Green Bay,WI Green Bay,1453,fuzzy,85.71428571428572
Western Carolina,W Carolina,1441,manual,100.0
Furman,Furman,1202,fuzzy,100.0
La Salle,La Salle,1247,fuzzy,100.0
UNC Asheville,UNC Asheville,1421,fuzzy,100.0
Cal Poly,Cal Poly,1142,fuzzy,100.0
Jacksonville,Jacksonville,1239,fuzzy,100.0
American,American Univ,1110,manual,100.0
Weber St.,Weber St,1451,fuzzy,94.11764705882352
Evansville,Evansville,1191,fuzzy,100.0
Ball St.,Ball St,1123,fuzzy,93.33333333333333
Northeastern,Northeastern,1318,fuzzy,100.0
Purdue Fort Wayne,PFW,1236,manual,100.0
Boston University,Boston Univ,1131,manual,100.0
Massachusetts,Massachusetts,1269,fuzzy,100.0
North Texas,North Texas,1317,fuzzy,100.0
Bradley,Bradley,1133,fuzzy,100.0
Drake,Drake,1179,fuzzy,100.0
Lipscomb,Lipscomb,1252,fuzzy,100.0
Florida Atlantic,FL Atlantic,1194,manual,100.0
Penn,Penn,1335,fuzzy,100.0
Southern Illinois,S Illinois,1356,manual,100.0
Fresno St.,Fresno St,1201,fuzzy,94.73684210526316
Miami OH,Miami OH,1275,fuzzy,100.0
Canisius,Canisius,1145,fuzzy,100.0
LSU,LSU,1261,manual,100.0
Stephen F. Austin,SF Austin,1372,manual,100.0
UTSA,UT San Antonio,1427,manual,100.0
Delaware,Delaware,1174,fuzzy,100.0
Yale,Yale,1463,fuzzy,100.0
Saint Joseph's,St Joseph's PA,1386,manual,100.0
Cornell,Cornell,1165,fuzzy,100.0
Loyola Marymount,Loy Marymount,1258,fuzzy,89.65517241379311
Columbia,Columbia,1162,fuzzy,100.0
Middle Tennessee,MTSU,1292,manual,100.0
Loyola MD,Loyola MD,1259,manual,100.0
Lehigh,Lehigh,1250,fuzzy,100.0
McNeese St.,McNeese St,1270,fuzzy,95.23809523809523
Tulane,Tulane,1408,fuzzy,100.0
Denver,Denver,1176,fuzzy,100.0
Mercer,Mercer,1273,fuzzy,100.0
Maine,Maine,1263,fuzzy,100.0
William & Mary,William & Mary,1456,fuzzy,100.0
Siena,Siena,1373,fuzzy,100.0
DePaul,DePaul,1177,fuzzy,100.0
Wyoming,Wyoming,1461,fuzzy,100.0
Appalachian St.,Appalachian St,1111,fuzzy,96.55172413793103
St. Francis NY,St Francis NY,1383,fuzzy,96.2962962962963
Houston,Houston,1222,fuzzy,100.0
Illinois St.,Illinois St,1229,fuzzy,95.65217391304348
Charlotte,Charlotte,1150,fuzzy,100.0
Stony Brook,Stony Brook,1392,fuzzy,100.0
Western Kentucky,WKU,1443,manual,100.0
UC Irvine,UC Irvine,1414,fuzzy,100.0
Tennessee Tech,Tennessee Tech,1399,fuzzy,100.0
Arkansas St.,Arkansas St,1117,fuzzy,95.65217391304348
UNC Wilmington,UNC Wilmington,1423,fuzzy,100.0
Georgia St.,Georgia St,1209,fuzzy,95.23809523809523
Little Rock,Ark Little Rock,1114,manual,100.0
Brown,Brown,1135,fuzzy,100.0
Louisiana,Louisiana,1418,fuzzy,100.0
Tennessee St.,Tennessee St,1398,fuzzy,96.0
Lafayette,Lafayette,1248,fuzzy,100.0
Youngstown St.,Youngstown St,1464,fuzzy,96.2962962962963
Elon,Elon,1189,fuzzy,100.0
Hampton,Hampton,1214,fuzzy,100.0
Cal St. Northridge,CS Northridge,1169,manual,100.0
Albany,SUNY Albany,1107,manual,100.0
Auburn,Auburn,1120,fuzzy,100.0
North Florida,North Florida,1316,fuzzy,100.0
VMI,VMI,1440,fuzzy,100.0
Utah Valley,Utah Valley,1430,fuzzy,100.0
Pepperdine,Pepperdine,1337,fuzzy,100.0
Eastern Kentucky,E Kentucky,1184,manual,100.0
Nicholls St.,Nicholls St,1311,fuzzy,95.65217391304348
Lamar,Lamar,1249,fuzzy,100.0
Holy Cross,Holy Cross,1221,fuzzy,100.0
Wagner,Wagner,1447,fuzzy,100.0
Bowling Green,Bowling Green,1132,fuzzy,100.0
Southern Utah,Southern Utah,1381,fuzzy,100.0
Morgan St.,Morgan St,1288,fuzzy,94.73684210526316
Wake Forest,Wake Forest,1448,fuzzy,100.0
Charleston Southern,Charleston So,1149,manual,100.0
Winthrop,Winthrop,1457,fuzzy,100.0
UC Davis,UC Davis,1413,fuzzy,100.0
Texas St.,Texas St,1402,fuzzy,94.11764705882352
Illinois Chicago,IL Chicago,1227,manual,100.0
Seattle,Seattle,1370,fuzzy,100.0
Eastern Washington,E Washington,1186,manual,100.0
UMKC,Missouri KC,1282,manual,100.0
Southeastern Louisiana,SE Louisiana,1368,manual,100.0
Louisiana Tech,Louisiana Tech,1256,fuzzy,100.0
Cal St. Fullerton,CS Fullerton,1168,manual,100.0
Campbell,Campbell,1144,fuzzy,100.0
Liberty,Liberty,1251,fuzzy,100.0
Northwestern St.,Northwestern,1321,fuzzy,85.71428571428572
UT Arlington,UT Arlington,1426,fuzzy,100.0
Montana St.,Montana St,1286,fuzzy,95.23809523809523
Towson,Towson,1406,fuzzy,100.0
Mount St. Mary's,Mt St Mary's,1291,fuzzy,85.71428571428572
Troy,Troy,1407,fuzzy,100.0
Hartford,Hartford,1216,fuzzy,100.0
Portland St.,Portland St,1340,fuzzy,95.65217391304348
Central Michigan,C Michigan,1141,manual,100.0
FIU,Florida Intl,1198,manual,100.0
Chattanooga,Chattanooga,1151,fuzzy,100.0
Sacred Heart,Sacred Heart,1357,fuzzy,100.0
Army,Army,1119,fuzzy,100.0
Navy,Navy,1298,fuzzy,100.0
Eastern Michigan,E Michigan,1185,manual,100.0
UNC Greensboro,UNC Greensboro,1422,fuzzy,100.0
Presbyterian,Presbyterian,1342,fuzzy,100.0
Florida Gulf Coast,FGCU,1195,manual,100.0
San Diego,San Diego,1360,fuzzy,100.0
Bethune Cookman,Bethune-Cookman,1126,fuzzy,93.33333333333333
Coppin St.,Coppin St,1164,fuzzy,94.73684210526316
The Citadel,Citadel,1154,manual,100.0
UC Riverside,UC Riverside,1415,fuzzy,100.0
Monmouth,Monmouth NJ,1284,manual,100.0
Gardner Webb,Gardner Webb,1205,fuzzy,100.0
Fordham,Fordham,1200,fuzzy,100.0
Northern Illinois,N Illinois,1296,manual,100.0
New Hampshire,New Hampshire,1306,fuzzy,100.0
Jacksonville St.,Jacksonville St,1240,fuzzy,96.7741935483871
Savannah St.,Savannah St,1366,fuzzy,95.65217391304348
South Alabama,South Alabama,1375,fuzzy,100.0
South Dakota,South Dakota,1377,fuzzy,100.0
Idaho St.,Idaho St,1226,fuzzy,94.11764705882352
Tennessee Martin,TN Martin,1404,manual,100.0
Stetson,Stetson,1391,fuzzy,100.0
North Dakota,North Dakota,1315,fuzzy,100.0
Norfolk St.,Norfolk St,1313,fuzzy,95.23809523809523
Jackson St.,Jackson St,1238,fuzzy,95.23809523809523
Saint Francis,St Francis PA,1384,manual,100.0
Manhattan,Manhattan,1264,fuzzy,100.0
Cal St. Bakersfield,CS Bakersfield,1167,manual,100.0
Southeast Missouri St.,SE Missouri St,1369,manual,100.0
North Carolina A&T,North Carolina,1314,fuzzy,87.5
Niagara,Niagara,1310,fuzzy,100.0
Eastern Illinois,E Illinois,1183,manual,100.0
Samford,Samford,1359,fuzzy,100.0
Longwood,Longwood,1255,fuzzy,100.0
Mississippi Valley St.,MS Valley St,1290,manual,100.0
North Carolina Central,NC Central,1300,manual,100.0
Colgate,Colgate,1159,fuzzy,100.0
NJIT,NJIT,1312,fuzzy,100.0
Texas Southern,TX Southern,1411,manual,100.0
Alabama St.,Alabama St,1106,fuzzy,95.23809523809523
Texas A&M Corpus Chris,TAM C. Christi,1394,manual,100.0
Binghamton,Binghamton,1127,fuzzy,100.0
Delaware St.,Delaware St,1175,fuzzy,95.65217391304348
Bryant,Bryant,1136,fuzzy,100.0
Fairleigh Dickinson,F Dickinson,1192,manual,100.0
High Point,High Point,1219,fuzzy,100.0
Dartmouth,Dartmouth,1171,fuzzy,100.0
USC Upstate,SC Upstate,1367,fuzzy,95.23809523809523
Marist,Marist,1265,fuzzy,100.0
Kennesaw St.,Kennesaw,1244,manual,100.0
Sacramento St.,CS Sacramento,1170,manual,100.0
South Carolina St.,South Carolina,1376,fuzzy,87.5
Alabama A&M,Alabama A&M,1105,fuzzy,100.0
Georgia Southern,Ga Southern,1204,manual,100.0
Florida A&M,Florida A&M,1197,fuzzy,100.0
Louisiana Monroe,ULM,1419,manual,100.0
UT Rio Grande Valley,UTRGV,1410,manual,100.0
Western Illinois,W Illinois,1442,manual,100.0
Central Arkansas,Cent Arkansas,1146,fuzzy,89.65517241379311
Grambling St.,Grambling,1212,manual,100.0
Maryland Eastern Shore,MD E Shore,1271,manual,100.0
Houston Christian,Houston Chr,1223,manual,100.0
Toledo,Toledo,1405,fuzzy,100.0
Radford,Radford,1347,fuzzy,100.0
Howard,Howard,1224,fuzzy,100.0
UMBC,UMBC,1420,fuzzy,100.0
Prairie View A&M,Prairie View,1341,fuzzy,85.71428571428572
Arkansas Pine Bluff,Ark Pine Bluff,1115,manual,100.0
SIU Edwardsville,SIUE,1188,manual,100.0
Alcorn St.,Alcorn St,1108,fuzzy,94.73684210526316
Centenary,Centenary,1147,fuzzy,100.0
Chicago St.,Chicago St,1152,fuzzy,95.23809523809523
Southern,Southern Univ,1380,manual,100.0
Nebraska Omaha,NE Omaha,1303,manual,100.0
Northern Kentucky,N Kentucky,1297,manual,100.0
New Orleans,New Orleans,1309,fuzzy,100.0
Grand Canyon,Grand Canyon,1213,fuzzy,100.0
Incarnate Word,Incarnate Word,1230,fuzzy,100.0
UMass Lowell,MA Lowell,1262,manual,100.0
Abilene Christian,Abilene Chr,1101,manual,100.0
Cal Baptist,Cal Baptist,1465,fuzzy,100.0
North Alabama,North Alabama,1466,fuzzy,100.0
Merrimack,Merrimack,1467,fuzzy,100.0
Bellarmine,Bellarmine,1468,fuzzy,100.0
Tarleton St.,Tarleton St,1470,fuzzy,95.65217391304348
UC San Diego,UC San Diego,1471,fuzzy,100.0
Utah Tech,Utah Tech,1469,fuzzy,100.0
St. Thomas,St Thomas MN,1472,manual,100.0
Queens,Queens NC,1474,manual,100.0
Southern Indiana,Southern Indiana,1475,fuzzy,100.0
East Texas A&M,East Texas A&M,1477,fuzzy,100.0
Stonehill,Stonehill,1476,fuzzy,100.0
Lindenwood,Lindenwood,1473,fuzzy,100.0
Le Moyne,Le Moyne,1478,fuzzy,100.0
Mercyhurst,Mercyhurst,1479,fuzzy,100.0
West Georgia,West Georgia,1480,fuzzy,100.0
New Haven,New Haven,1481,fuzzy,100.0
